,X1,X2,X3,Y2,Z1,X1X2,X1X3,X2X3,LinearPrediction_Y2,PolyPrediction_Y2,LassoPrediction_Y2,RidgePrediction_Y2,ElasticNetPrediction_Y2
0,50,6,30,4.86,18,300,1500,180,4.648187049968966,4.858393120311192,4.832740940192474,4.941655649058432,4.886833565959531
1,50,6,45,4.97,19,300,2250,270,5.648293224086729,7.41990401820938,4.953286796798257,5.00304370749166,4.918621433163
2,50,6,60,5.79,20,300,3000,360,6.648399398204493,8.62482835911517,5.643377240732525,5.648999317587853,5.639502630840785
3,50,6,75,6.28,27,300,3750,450,7.648505572322257,6.2807340865463885,7.105914668213575,7.109481075332574,7.256762071353891
4,50,8,30,5.06,19,400,1500,240,5.283681059705159,5.059106245879846,5.173192019436254,5.234151884943074,5.219528279316545
5,50,8,45,5.2,24,400,2250,360,6.205318899955451,5.193698250092282,5.364548535907177,5.390173125604125,5.324874570870248
6,50,8,60,5.91,21,400,3000,480,7.126956740205744,5.9020130000524915,6.202154163877583,6.183986691583155,6.1528091742568485
7,50,8,75,8.65,23,400,3750,600,8.048594580456035,8.649140130800177,7.917738696728195,7.870002404502036,7.915288213858279
8,50,10,30,5.78,20,500,1500,300,5.919175069441351,5.7834377812522035,5.798292543535482,5.80781049651204,5.838380959396004
9,50,10,45,5.9,20,500,2250,450,6.762344575824171,5.899198947133144,5.998279366712389,6.008700475970573,5.9723033916962525
10,50,10,60,6.61,21,500,3000,600,7.605514082206993,6.607596388099253,6.867099245433238,6.852965815409452,6.824575051095779
11,50,10,75,8.89,24,500,3750,750,8.448683588589812,8.896183489718013,8.648621833302755,8.610211689057207,8.601055029513173
12,50,12,30,6.59,21,600,1500,360,6.554669079177543,6.599184541780986,6.780159708320856,6.724988327047243,6.813752961708549
13,50,12,45,7.05,22,600,2250,540,7.319370251692892,7.054489686918558,6.9130655063491195,6.9055205180614685,6.919603221228302
14,50,12,60,7.71,29,600,3000,720,8.08407142420824,7.7079891725505405,7.671221953588692,7.673915294227837,7.692501581122914
15,50,12,75,9.1,25,600,3750,900,8.84877259672359,9.09911007198555,9.29012407763812,9.302634578065971,9.318752492557998
16,100,6,30,6.95,24,600,3000,180,5.044851051659721,8.506723407375674,6.274593257912165,6.17956324776192,6.294130104841441
17,100,6,45,6.96,24,600,4500,270,6.02694056007002,6.95923916409977,6.357092991551124,6.328053736503195,6.312087772342469
18,100,6,60,7.09,26,600,6000,360,7.009030068480319,7.092356116168801,7.0579852693478475,7.0734587688642145,7.020732884394446
19,100,6,75,9.16,27,600,7500,450,7.99111957689062,9.166763648923578,8.628528134567343,8.687488893222437,8.640644164596411
20,100,8,30,6.94,29,800,3000,240,5.684494541015944,6.93892988343562,6.398070233411465,6.338567827685855,6.4081271588153506
21,100,8,45,6.96,27,800,4500,360,6.5881157155587715,6.845855360745034,6.539420836148862,6.532874267730016,6.490302374363614
22,100,8,60,7.24,29,800,6000,480,7.491736890101599,6.273599358540949,7.351603572298996,7.357918215623309,7.28575561851091
